Αζερμπαϊτζάν,Μπακού,B,Asia/Baku
Ρουμανία,Βουκουρέστι,C,Europe/Bucharest
Ρουμανία,Ιάσιο,C,Europe/Bucharest
Ρουμανία,Σινάια,C,Europe/Bucharest
Ρωσία,Μόσχα,A,Europe/Moscow
Σενεγάλη,Ντακάρ,B,Africa/Dakar
Σερβία,Βελιγράδι,C,Europe/Belgrade
Σερβία,Βράνιε,C,Europe/Belgrade
Σερβία,Ζρένιανιν,C,Europe/Belgrade
Σερβία,Καπαόνικ,C,Europe/Belgrade
Σερβία,Κραγκούγιεβατς,C,Europe/Belgrade
Σερβία,Κράλιεβο,C,Europe/Belgrade
Σερβία,Νις,C,Europe/Belgrade
Σερβία,Νόβι Παζάρ,C,Europe/Belgrade
Σερβία,Νόβι Σαντ,C,Europe/Belgrade
Σερβία,Πάλιτς,C,Europe/Belgrade
Σερβία,Πάντσεβο,C,Europe/Belgrade
Σερβία,Σουμπότιτσα,C,Europe/Belgrade
Σερβία,Τσάτσακ,C,Europe/Belgrade
Σιγκαπούρη,Σιγκαπούρη,A,Asia/Singapore
Σλοβακία,Ζίλινα,A,Europe/Bratislava
Σλοβακία,Κόσιτσε,A,Europe/Bratislava
Σλοβακία,Μάρτιν,A,Europe/Bratislava
Σλοβακία,Μπάνσκα Μπίστριτσα,A,Europe/Bratislava
Σλοβακία,Μπρατισλάβα,A,Europe/Bratislava
Σλοβακία,Νίτρα,A,Europe/Bratislava
Σλοβακία,Πόπραντ,A,Europe/Bratislava
Σλοβακία,Πρέσοβ,A,Europe/Bratislava
Σλοβακία,Τρέντσιν,A,Europe/Bratislava
Σλοβακία,Τρνάβα,A,Europe/Bratislava
Σλοβενία,Moravske Toplice,A,Europe/Ljubljana
Σλοβενία,Βελένιε,A,Europe/Ljubljana
Σλοβενία,Κραν,A,Europe/Ljubljana
Σλοβενία,Λιουμπλιάνα,A,Europe/Ljubljana
Σλοβενία,Μάριμπορ,A,Europe/Ljubljana
Σλοβενία,Μπλεντ,A,Europe/Ljubljana
Σλοβενία,Μπρεζίτσε,A,Europe/Ljubljana
Σλοβενία,Νόβα Γκόριτσα,A,Europe/Ljubljana
Σλοβενία,Τσέλιε,A,Europe/Ljubljana
Σουηδία,Βέξιε,A,Europe/Stockholm
Σουηδία,Βεστερός,A,Europe/Stockholm
Σουηδία,Γέβλε,A,Europe/Stockholm
Σουηδία,Γιένσεπινγκ,A,Europe/Stockholm
Σουηδία,Γκέτεμποργκ,A,Europe/Stockholm
Σουηδία,Έρεμπρο,A,Europe/Stockholm
Σουηδία,Εσκιλστούνα,A,Europe/Stockholm
Σουηδία,Κάρλσταντ,A,Europe/Stockholm
Σουηδία,Λίνσεπινγκ,A,Europe/Stockholm
Σουηδία,Λουντ,A,Europe/Stockholm
Σουηδία,Μάλμε,A,Europe/Stockholm
Σουηδία,Μπορός,A,Europe/Stockholm
Σουηδία,Νόρσεπινγκ,A,Europe/Stockholm
Σουηδία,Ούμεο,A,Europe/Stockholm
Σουηδία,Ουψάλα,A,Europe/Stockholm
Σουηδία,Σεντερτέλιε,A,Europe/Stockholm
Σουηδία,Στοκχόλμη,A,Europe/Stockholm
Σουηδία,Τέμπυ,A,Europe/Stockholm
Σουηδία,Χάλμσταντ,A,Europe/Stockholm
Σουηδία,Χέλσινγκμποργκ,A,Europe/Stockholm
Συρία,Δαμασκός,C,Asia/Damascus
Ταϊβάν,Ταϊπέι,C,Asia/Taipei
Τανζανία,Νταρ ες Σαλάμ,C,Africa/Dar_es_Salaam
Τατζικιστάν,Ντουσαμπέ,B,Asia/Dushanbe
Τουρκία,Άγκυρα,B,Europe/Istanbul
Τουρκία,Γκαζιαντέπ,B,Europe/Istanbul
Τουρκία,Κωνσταντινούπολη,B,Europe/Istanbul
Τουρκία,Σαμψούντα,B,Europe/Istanbul
Τουρκία,Σμύρνη,B,Europe/Istanbul
Τσεχία,Ζλιν,B,Europe/Prague
Τσεχία,Κλάντνο,B,Europe/Prague
Τσεχία,Λίμπερετς,B,Europe/Prague
Τσεχία,Μοστ,B,Europe/Prague
Τσεχία,Μπρνο,B,Europe/Prague
Τσεχία,Όλομουτς,B,Europe/Prague
Τσεχία,Όπαβα,B,Europe/Prague
Τσεχία,Όστραβα,B,Europe/Prague
Τσεχία,Ούστι ναντ Λάμπεμ,B,Europe/Prague
Τσεχία,Παρντούμπιτσε,B,Europe/Prague
Τσεχία,Πλζεν,B,Europe/Prague
Τσεχία,Πράγα,B,Europe/Prague
Τσεχία,Τσέσκε Μπουντεγιόβιτσε,B,Europe/Prague
Τσεχία,Χάβιροβ,B,Europe/Prague
Τσεχία,Χράντετς Κράλοβε,B,Europe/Prague
Τυνησία,Τύνιδα,B,Africa/Tunis
Φινλανδία,Βάασα,A,Europe/Helsinki
Φινλανδία,Βάνταα,A,Europe/Helsinki
Φινλανδία,Γιόενσου,A,Europe/Helsinki
Φινλανδία,Γυβάσκυλα,A,Europe/Helsinki
Φινλανδία,Ελσίνκι,A,Europe/Helsinki
Φινλανδία,Έσποο,A,Europe/Helsinki
Φινλανδία,Κοούβολα,A,Europe/Helsinki
Φινλανδία,Κότκα,A,Europe/Helsinki
Φινλανδία,Κουόπιο,A,Europe/Helsinki
Φινλανδία,Λαπεενράντα,A,Europe/Helsinki
Φινλανδία,Λάπλαντ,A,Europe/Helsinki
Φινλανδία,Λάχτι,A,Europe/Helsinki
Φινλανδία,Όουλου,A,Europe/Helsinki
Φινλανδία,Πόρι,A,Europe/Helsinki
Φινλανδία,Ρόβανιεμι,A,Europe/Helsinki
Φινλανδία,Σάλο,A,Europe/Helsinki
Φινλανδία,Σεϊναγιόκι,A,Europe/Helsinki
Φινλανδία,Τάμπερε,A,Europe/Helsinki
Φινλανδία,Τούρκου,A,Europe/Helsinki
Φινλανδία,Χαμεενλίνα,A,Europe/Helsinki
Χιλή,Σαντιάγο,B,America/Santiago
